dyadid,ccode1,ccode2,dem1,dem2,distance,allies
20663,20,663,10,-9,5598,0
20666,20,666,10,9,5581,0
20670,20,670,10,-10,6404,0
20678,20,678,10,-3,6817,0
20680,20,680,10,-5,6991,0
20690,20,690,10,-9,6183,0
20700,20,700,10,-7,6500,0
20710,20,710,10,-9,6498,0
20712,20,712,10,-7,5992,0
20713,20,713,10,-8,7456,0
20731,20,731,10,-9,6459,0
20732,20,732,10,-3,6538,0
20740,20,740,10,10,6417,0
20750,20,750,10,9,7053,0
20770,20,770,10,3,6640,0
20775,20,775,10,-7,8117,0
20780,20,780,10,7,8524,0
20781,20,781,10,,8540,0
20790,20,790,10,-9,7252,0
20800,20,800,10,,8350,0
20811,20,811,10,-9,8509,0
20812,20,812,10,,8064,0
20816,20,816,10,-8,7852,0
20817,20,817,10,-3,8562,0
20820,20,820,10,10,9085,0
20830,20,830,10,-2,9219,0
20840,20,840,10,5,8169,0
20850,20,850,10,-7,9730,0
20900,20,900,10,10,10019,0
20920,20,920,10,10,9009,0
40041,40,41,-7,-9,722,0
40042,40,42,-7,-3,868,0
40051,40,51,-7,10,506,0
40052,40,52,-7,8,1624,0
40053,40,53,-7,,1645,0
40070,40,70,-7,-6,1111,0
40090,40,90,-7,3,794,0
40091,40,91,-7,-1,701,0
40092,40,92,-7,0,791,0
40093,40,93,-7,-8,802,0
40094,40,94,-7,10,920,0
40095,40,95,-7,-7,998,0
40100,40,100,-7,7,1396,0
40101,40,101,-7,6,1343,0
40110,40,110,-7,1,1966,0
40130,40,130,-7,1,1636,0
40135,40,135,-7,-7,2460,0
40140,40,140,-7,-9,3560,0
40145,40,145,-7,-4,2905,0
40150,40,150,-7,-8,3734,0
40155,40,155,-7,6,3989,0
40160,40,160,-7,-9,4291,0
40165,40,165,-7,8,4365,0
40200,40,200,-7,10,4660,0
40205,40,205,-7,10,4389,0
40210,40,210,-7,10,4859,0
40211,40,211,-7,10,4858,0
40212,40,212,-7,10,4955,0
40220,40,220,-7,5,4800,0
40225,40,225,-7,10,5064,0
40230,40,230,-7,-7,4628,0
40235,40,235,-7,-9,4363,0
40260,40,260,-7,10,4977,0
40265,40,265,-7,-9,5053,0
40290,40,290,-7,-7,5505,0
40305,40,305,-7,10,5427,0
40310,40,310,-7,-7,5562,0
40315,40,315,-7,,5300,0
40325,40,325,-7,10,5408,0
40338,40,338,-7,,5663,0
40339,40,339,-7,-9,5773,0
40345,40,345,-7,-7,5701,0
40350,40,350,-7,-7,6063,0
40352,40,352,-7,7,6622,0
40355,40,355,-7,-7,5893,0
40360,40,360,-7,-7,5959,0
40365,40,365,-7,-7,5961,0
40375,40,375,-7,10,5408,0
40380,40,380,-7,10,5210,0
40385,40,385,-7,10,4955,0
40390,40,390,-7,10,5101,0
40395,40,395,-7,10,3910,0
40411,40,411,-7,,6196,0
40420,40,420,-7,10,4338,0
40432,40,432,-7,-7,4901,0
40433,40,433,-7,-7,4257,0
40434,40,434,-7,-7,5731,0
40435,40,435,-7,-7,4278,0
40436,40,436,-7,-7,5516,0
40437,40,437,-7,-9,5220,0
40438,40,438,-7,-9,4615,0
40439,40,439,-7,-7,5317,0
40450,40,450,-7,-6,4882,0
40451,40,451,-7,2,4670,0
40452,40,452,-7,-7,5576,0
40461,40,461,-7,-7,5651,0
40471,40,471,-7,-7,6367,0
40475,40,475,-7,-7,5948,0
40481,40,481,-7,-7,6330,0
40482,40,482,-7,-9,6798,0
40483,40,483,-7,-9,6358,0
40484,40,484,-7,-7,6826,0
40490,40,490,-7,-9,6828,0
40500,40,500,-7,-6,7794,0
40501,40,501,-7,0,8105,0
40510,40,510,-7,-7,8418,0
40516,40,516,-7,-7,7697,0
40517,40,517,-7,-5,7701,0
40520,40,520,-7,7,8524,0
40530,40,530,-7,-9,7885,0
