respon,DH_appr,age,PID5,female,followbaseball
338,1,28,5,"Female",1
339,,46,5,"Male",0
340,0,36,4,"Male",1
341,,40,2,"Female",0
342,,21,3,"Female",1
343,,67,3,"Male",0
344,,45,5,"Female",0
345,,,1,"Female",0
346,,66,2,"Female",0
347,,38,2,"Female",0
348,,52,2,"Female",0
349,0,41,5,"Female",1
350,,51,3,"Female",0
351,1,67,1,"Female",1
352,,50,3,"Male",0
353,,39,,"Female",0
354,,46,2,"Male",0
355,,49,4,"Female",0
356,,35,5,"Male",0
357,,41,5,"Male",0
358,1,44,5,"Female",1
359,1,65,1,"Male",1
360,,36,1,"Female",0
361,,34,1,"Male",0
362,,58,3,"Female",0
363,,30,2,"Male",0
364,,31,1,"Female",0
365,,61,4,"Female",0
366,0,64,2,"Male",1
367,,27,1,"Female",0
368,,22,5,"Female",0
369,,22,5,"Male",0
370,1,62,4,"Female",1
371,,47,3,"Female",0
372,,58,5,"Female",1
373,,26,3,"Female",0
374,,31,2,"Male",0
375,,60,5,"Female",0
376,,43,2,"Female",0
377,0,47,1,"Female",1
378,,65,5,"Female",0
379,,83,5,"Female",0
380,0,58,1,"Male",1
381,,21,1,"Male",0
382,1,29,5,"Female",1
383,0,56,5,"Male",1
384,,38,5,"Female",0
385,,47,,"Female",0
386,,67,1,"Female",0
387,0,37,4,"Female",1
388,,71,5,"Female",0
389,,37,5,"Female",0
390,0,33,5,"Male",1
391,,44,5,"Female",0
392,1,70,4,"Male",1
393,,28,4,"Female",0
394,,46,4,"Female",0
395,1,44,5,"Male",1
396,,78,3,"Female",0
397,,37,3,"Male",0
398,,40,5,"Female",0
399,,48,1,"Female",0
400,,,1,"Female",0
401,,30,3,"Male",0
402,,36,5,"Female",0
403,1,73,1,"Female",1
404,,30,4,"Female",0
405,1,42,,"Female",1
406,,47,4,"Female",0
407,1,71,5,"Female",1
408,,62,1,"Female",0
409,0,78,4,"Male",1
410,,33,1,"Female",0
411,1,37,1,"Male",1
412,,42,4,"Male",0
413,,52,5,"Male",0
414,,26,5,"Male",0
415,,44,4,"Female",0
416,,20,2,"Male",0
417,,31,5,"Female",0
418,0,46,2,"Male",1
419,,28,5,"Female",1
420,,28,5,"Female",0
421,,20,,"Male",0
422,,88,1,"Female",1
423,1,35,1,"Male",1
424,,36,1,"Female",0
425,,26,1,"Female",0
426,,19,5,"Male",0
427,,60,4,"Female",0
428,,77,1,"Female",0
429,,36,2,"Male",0
430,,36,1,"Male",0
431,,45,1,"Female",0
432,,33,1,"Female",0
433,,73,5,"Male",0
434,1,,2,"Female",1
435,,38,3,"Female",0
436,1,18,1,"Male",1
437,1,37,1,"Female",1
438,,30,3,"Male",0
439,,36,5,"Male",0
440,,68,2,"Male",0
441,,28,3,"Male",0
442,1,49,5,"Male",1
443,,62,5,"Male",0
444,1,35,5,"Male",1
445,0,29,2,"Female",1
446,1,68,5,"Female",1
447,1,68,1,"Male",1
448,,68,4,"Female",1
449,0,65,5,"Male",1
450,,49,1,"Female",0
451,,28,5,"Male",0
452,,39,4,"Female",1
453,,50,5,"Female",0
454,0,28,5,"Male",1
455,,,2,"Male",0
456,,19,2,"Female",0
457,,26,,"Female",0
458,,51,5,"Female",0
459,,41,5,"Female",0
460,,28,1,"Female",0
461,0,47,5,"Male",1
462,,54,3,"Male",0
463,,58,1,"Female",0
464,1,58,2,"Female",1
465,,40,3,"Female",0
466,,30,4,"Female",0
467,,43,1,"Female",0
468,,25,3,"Male",0
469,,59,5,"Female",1
470,1,67,2,"Male",1
471,,32,1,"Female",0
472,,47,5,"Male",0
473,,61,5,"Male",0
474,,37,3,"Female",0
475,1,43,1,"Male",1
476,1,46,,"Male",1
477,0,34,,"Male",1
478,,70,2,"Female",0
479,0,31,1,"Male",1
480,,25,4,"Female",0
481,,50,2,"Female",0
482,,68,1,"Female",0
483,,40,1,"Female",0
484,0,36,5,"Male",1
485,1,50,5,"Female",1
486,,42,,"Male",0
487,,29,,"Female",0
488,0,55,1,"Male",1
489,0,56,5,"Female",1
490,,40,4,"Female",1
491,1,38,5,"Male",1
492,,68,2,"Male",0
493,1,32,4,"Male",1
494,1,21,1,"Male",1
495,,80,1,"Female",0
496,,27,3,"Male",0
497,1,38,5,"Female",1
498,,42,4,"Male",0
499,,47,2,"Female",0
500,,63,5,"Male",0
501,,20,4,"Female",0
502,,62,1,"Female",0
503,0,55,1,"Male",1
504,1,32,1,"Male",1
505,,27,1,"Male",0
506,1,28,1,"Male",1
507,1,41,,"Male",1
508,,85,1,"Female",0
509,,52,2,"Female",0
510,,39,1,"Male",0
511,,36,4,"Female",0
512,,25,3,"Female",0
513,,82,1,"Female",0
514,,22,2,"Female",0
515,,42,3,"Male",0
516,1,25,5,"Female",1
517,,22,4,"Male",0
518,1,43,2,"Male",1
519,1,40,1,"Male",1
520,,73,3,"Female",0
521,0,29,5,"Male",1
522,,56,5,"Female",0
523,0,70,1,"Female",1
524,0,38,5,"Male",1
525,1,29,4,"Female",1
526,1,22,2,"Male",1
527,,52,,"Male",0
528,0,74,5,"Male",1
529,,44,5,"Male",0
530,,55,3,"Female",0
531,1,70,4,"Female",1
532,,55,4,"Female",0
533,0,39,5,"Male",1
534,,43,4,"Male",0
535,0,37,1,"Female",1
536,,62,5,"Male",0
537,1,43,5,"Female",1
538,,30,1,"Female",0
539,,22,3,"Male",0
540,1,42,5,"Female",1
541,0,,5,"Female",1
542,,23,2,"Female",0
543,,49,5,"Female",0
544,0,40,3,"Female",1
545,1,62,5,"Female",1
546,,28,2,"Female",0
547,,39,4,"Female",0
548,0,66,3,"Female",1
549,,27,5,"Male",0
550,,39,5,"Female",0
551,0,38,1,"Male",1
552,,45,1,"Female",0
553,,40,1,"Female",0
554,0,,1,"Male",1
555,,32,3,"Female",0
556,1,27,4,"Female",1
557,,53,3,"Female",0
558,,28,5,"Female",0
559,,62,5,"Female",0
560,0,61,1,"Female",1
561,,36,1,"Male",0
562,,58,4,"Male",0
563,1,35,1,"Male",1
564,,42,3,"Female",0
565,,69,4,"Male",0
566,,71,1,"Female",0
567,0,27,1,"Male",1
568,,58,2,"Male",0
569,,27,5,"Female",0
570,0,50,1,"Male",1
571,0,74,,"Female",1
572,,39,1,"Female",1
573,,40,3,"Male",0
574,,60,3,"Female",0
575,0,27,1,"Male",1
576,,77,4,"Male",0
577,,50,1,"Male",0
578,,25,2,"Male",0
579,,74,4,"Female",0
580,,25,3,"Male",0
581,,36,1,"Female",1
582,,32,3,"Male",0
583,,48,1,"Female",0
584,,29,1,"Male",0
585,,36,4,"Female",0
586,1,22,3,"Male",1
587,,46,5,"Female",1
588,,35,1,"Male",0
589,1,39,1,"Male",1
590,,23,5,"Female",0
591,0,50,4,"Female",1
592,,25,,"Male",0
593,,65,3,"Female",0
594,1,25,1,"Female",1
595,,40,1,"Male",0
596,,53,5,"Male",1
597,,28,1,"Female",0
598,,38,2,"Male",1
599,,38,1,"Female",0
600,0,41,1,"Male",1
601,,70,5,"Female",0
602,,45,1,"Female",0
603,,63,5,"Male",0
604,,24,4,"Female",0
605,,34,5,"Female",0
606,,33,1,"Female",0
607,,46,5,"Female",0
608,,28,3,"Male",0
609,,47,5,"Female",0
610,1,32,,"Male",1
611,,25,1,"Female",0
612,,65,5,"Female",0
613,,20,,"Male",0
614,1,77,2,"Female",1
615,1,70,5,"Female",1
616,,60,3,"Female",0
617,,62,5,"Female",0
618,,19,2,"Female",0
619,,59,5,"Female",0
620,,70,5,"Male",0
621,0,51,1,"Male",1
622,0,56,2,"Male",1
623,0,52,1,"Male",1
624,,64,5,"Female",0
625,,56,4,"Female",0
626,,28,4,"Male",0
627,,28,5,"Female",0
628,1,29,1,"Male",1
629,0,45,5,"Male",1
630,,71,5,"Female",0
631,,39,2,"Male",0
632,1,29,5,"Female",1
633,,47,4,"Female",0
634,1,64,5,"Male",1
635,0,60,5,"Male",1
636,1,31,5,"Female",1
637,,30,1,"Female",1
638,,73,1,"Male",0
639,,49,3,"Female",0
640,,42,2,"Female",0
641,,33,1,"Female",0
642,,70,1,"Female",0
643,,86,1,"Male",0
644,,43,3,"Male",1
645,,54,3,"Male",0
646,,50,3,"Female",0
647,,33,2,"Male",0
648,,56,5,"Female",0
649,0,47,1,"Female",1
650,,35,1,"Female",0
651,,23,4,"Male",0
652,1,35,5,"Male",1
653,0,36,2,"Female",1
654,,38,1,"Male",0
655,,23,2,"Male",0
656,,35,2,"Male",0
657,,39,1,"Female",0
658,,30,4,"Female",0
659,,58,1,"Female",1
660,,,5,"Female",0
661,0,50,1,"Female",1
662,0,18,4,"Male",1
663,,45,5,"Female",0
664,1,44,4,"Female",1
665,0,47,2,"Female",1
666,0,43,1,"Female",1
667,1,63,4,"Female",1
668,1,61,1,"Male",1
669,0,36,5,"Male",1
670,,29,5,"Male",0
671,,75,1,"Female",0
672,0,35,5,"Male",1
673,,32,3,"Male",0
